,date,title
139,2021-01-14 17:21:00,"연구개발특구진흥재단, ""업무 디지털화, 코로나19 위기를 기회로 만드는 열쇠"""
140,2021-01-14 16:58:00,"알테오젠, ‘JP모건 헬스케어’서 기술 수출 확대 모색"
141,2021-01-14 15:42:00,"엔비디아, RTX 30 시리즈 모바일 GPU 공개··· 게이밍 노트북의 새 장 연다"
142,2021-01-14 15:15:00,[날씨]일요일 오후부터 눈 소식…다음주 출근길 영향줄 듯
143,2021-01-14 14:59:00,"셀트리온, 美서 골다공증 치료제 바이오시밀러 ‘CT-P41’ 임상 3상 신청"
144,2021-01-14 14:27:00,"예스나우, 비대면 교복 사이즈 측정 서비스 ‘핏파인더’ 선 봬"
145,2021-01-14 13:43:00,AI 챗봇 ‘이루다’ 사태 철벽방어…카카오 “차별·증오발언 강경 대응”
146,2021-01-14 11:45:00,"올리브 유니온, CES 2021서 보청기&블루투스 이어폰 올리브 프로 공개"
147,2021-01-14 11:12:00,"“사망 위험 환자 치료 효과 입증”… 종근당, ‘나파벨탄’ 코로나19 치료제 임상 2상 完"
148,2021-01-14 10:43:00,AI 챗봇 ‘이루다’ 논란에 방통위 “AI 윤리규범 구체화”
149,2021-01-14 10:04:00,"대웅제약, 바이오의약품 위탁개발·생산사업 진출… CDMO 관련 제조업 허가 취득"
150,2021-01-14 09:56:00,‘99만9900원’ 가격낮춘 갤S21…“전작 갤S20보다 잘팔릴 것”
151,2021-01-14 09:32:00,"‘이루다’ 측, 개인정보유출 등 논란에 사과 “조사에 성실히 임할 것”"
152,2021-01-14 09:23:00,이루다 개발사 “정보 노출 사과…원하는 이용자는 개인정보 삭제”
153,2021-01-14 03:00:00,겨울철 노인 건강 위협하는 ‘고관절 골절’
154,2021-01-14 03:00:00,[만화 그리는 의사들]〈164〉사춘기가 빨리 왔어요
155,2021-01-14 03:00:00,고도비만 환자의 무리한 운동은 毒… “치료부터 받으세요”
156,2021-01-14 03:00:00,"한화에어로스페이스, 우주위성 사업 확대"
157,2021-01-14 03:00:00,"“뉴노멀 시대, 경쟁자와도 손잡아야”"
158,2021-01-14 03:00:00,"SKT, 3만원대 5G 최저요금제… 약정없이 데이터 9GB 제공"
159,2021-01-14 03:00:00,IT기업들 “이제는 ESG 경영”
160,2021-01-14 03:00:00,"카카오페이, 마이데이터 예비허가 못받아"
161,2021-01-14 03:00:00,"국세청 연말정산 인증, PASS로 3초면 ‘OK’"
162,2021-01-13 19:27:00,"“코로나19 치료효과 입증”… 셀트리온, 항체치료제 ‘렉키로나주’ 임상 2상 결과 발표"
163,2021-01-13 18:35:00,애플 아이폰으로 현대차 ‘디지털 키’ 이용 가능해진다
164,2021-01-13 16:28:00,"에듀테크 기업 디쉐어, 창립 10주념 기념행사 …4차산업혁명 시대 비전 제시"
165,2021-01-13 15:55:00,올해의 주인공은 누구? 크래프톤 등 코스닥 입성 노리는 게임사들
166,2021-01-13 15:16:00,"팜클 “릴라이온 버콘 마이크로, 코로나19 바이러스 사멸 효과 환경부 승인”"
167,2021-01-13 12:29:00,"생명연, 난치성 위암 새 치료법 찾았다…세포사멸 원인 규명"
168,2021-01-13 12:28:00,낙지 유전체서 배뇨질환 치료 물질 발견…기술이전해 치료제 개발 추진
169,2021-01-13 10:29:00,잘나가던 비트코인 ‘숨고르기’…이틀 새 600만원 빠졌다
170,2021-01-13 10:23:00,집주소·계좌정보 ‘술술’…‘AI 이루다’ 개인정보 유출 논란
171,2021-01-13 09:48:00,진도 10 지진에도 견딜수 있는 ‘점토기와’ 국내 최초개발
172,2021-01-13 09:47:00,지난해 가장 인기 끈 모바일 게임은 ‘카트라이더 러쉬플러스’
173,2021-01-13 09:30:00,"메디플러스솔루션, 약 먹은 기록 자동입력 ‘약꾹’ 서비스 출시"
174,2021-01-13 09:13:00,"보쉬, 건강·환경 위한 AIoT 기술 솔루션 공개"
175,2021-01-13 09:00:00,"[스타트업-ing] 퍼니펍 노한나 대표 “유니크한 해외 마켓, 셀러문에서 대화합니다”"
176,2021-01-13 03:00:00,"나이들수록 중요한 腸건강, ‘생존 유산균’으로 지키자"
177,2021-01-13 03:00:00,“올 설날 음식은 아보카도 오일로 건강하게 요리하세요”
